company_id,company_name,sector,P/E,P/B,EV/EBITDA,fcf_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
INFY,Infosys Ltd,IT Services,35.99,8.97,36.7,1.808627454139422,63.63,-43.43862957724344,Discount
IRFC,Indian Railway Finance Corporation Ltd,Unknown,9.81,3.91,16.66,0.3019460457018293,45.834999999999994,-78.59714192211192,Discount
JSWENERGY,JSW Energy Ltd,Power & Utilities,24.79,9.88,35.95,-1.7705336124937798,44.57,-44.37962755216513,Discount
LT,Larsen & Toubro Ltd,Unknown,30.8,2.48,16.63,1.8179837675257147,45.834999999999994,-32.80244354750735,Discount
M&M,"Mahindra & Mahindra Ltd
",Automobiles,14.22,0.81,29.08,-0.2694648852484086,29.91,-52.45737211634904,Discount
MARUTI,Maruti Suzuki India Ltd,Automobiles,20.78,8.26,29.97,0.3282212496887102,29.91,-30.52490805750585,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Unknown,9.54,2.38,33.39,0.6329063689949501,45.834999999999994,-79.18621141049415,Discount
NTPC,NTPC Ltd,Power & Utilities,30.8,5.24,37.12,0.9521678733206076,44.57,-30.8952210006731,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Oil & Gas,18.15,10.36,11.72,10.781545408672736,28.61,-36.56064313177211,Discount
PNB,Punjab National Bank,Public Sector Banks,19.29,10.91,23.64,-1.6126067787208855,28.015,-31.144029983937184,Discount
RECLTD,REC Ltd,Unknown,31.49,4.59,23.95,-20.40097504287343,45.834999999999994,-31.29704374386385,Discount
SHREECEM,Shree Cement Ltd,Unknown,25.87,1.21,26.58,0.06115348347250073,45.834999999999994,-43.558416057597896,Discount
TATAPOWER,"Tata Power Company Ltd
",Power & Utilities,14.5,3.48,12.02,0.2166615750083587,44.57,-67.46690599057662,Discount
TITAN,"Titan Company Ltd
",Unknown,10.13,10.51,21.0,0.0839572651499547,45.834999999999994,-77.89898549143666,Discount
TRENT,Trent Ltd,Unknown,8.65,11.82,34.65,0.14720244295143942,45.834999999999994,-81.1279589833097,Discount
